Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
380710.41,14853883.47,8.14,24750882.26,6.71,34646830.40,6.23,44543772.71,5.40,54440535.19,6.35,64338018.35,6.87,380700.18,14855337.45,16.29,24754580.36,10.46,34652342.48,7.49,44550872.25,7.45,54449189.64,9.10,64348192.46,9.44,380705.12,14847628.93,15.97,24742007.02,10.43,34634963.08,7.58,44528751.74,7.66,54422337.48,9.55,64316642.25,9.94
380776.51,14853883.49,8.14,24750882.27,6.71,34646830.44,6.23,44543772.73,5.40,54440535.22,6.35,64338018.37,6.87,380758.78,14855341.89,15.93,24754582.29,9.77,34652339.33,7.05,44550868.88,7.11,54449178.19,8.52,64348149.37,9.36,380771.21,14847628.97,15.97,24742007.07,10.43,34634963.16,7.58,44528751.85,7.66,54422337.60,9.55,64316642.38,9.94
380856.96,14853883.54,8.14,24750882.29,6.72,34646830.44,6.23,44543772.78,5.40,54440535.28,6.35,64338018.45,6.87,380837.59,14855346.34,15.58,24754584.23,9.08,34652336.19,6.61,44550865.51,6.77,54449166.71,7.95,64348105.99,9.28,380851.66,14847629.02,15.97,24742007.16,10.43,34634963.28,7.58,44528752.01,7.66,54422337.80,9.55,64316642.60,9.94
380929.80,14853883.55,8.14,24750882.30,6.72,34646830.47,6.23,44543772.80,5.40,54440535.30,6.35,64338018.49,6.88,380912.36,14855341.94,15.93,24754582.36,9.77,34652339.42,7.05,44550868.98,7.11,54449178.30,8.53,64348149.64,9.36,380924.50,14847629.05,15.97,24742007.19,10.43,34634963.33,7.58,44528752.07,7.66,54422337.86,9.55,64316642.69,9.94
380994.56,14853883.56,8.14,24750882.31,6.72,34646830.49,6.23,44543772.83,5.40,54440535.33,6.35,64338018.53,6.87,380976.87,14855341.96,15.93,24754582.39,9.77,34652339.47,7.05,44550869.05,7.11,54449178.37,8.52,64348149.59,9.36,380989.26,14847629.07,15.97,24742007.23,10.43,34634963.38,7.58,44528752.14,7.66,54422337.94,9.55,64316642.79,9.94
381069.12,14853883.58,8.14,24750882.33,6.72,34646830.50,6.23,44543772.87,5.40,54440535.37,6.35,64338018.59,6.88,381056.89,14855344.19,15.76,24754583.36,9.43,34652337.88,6.83,44550867.34,6.94,54449172.59,8.24,64348127.54,9.32,381063.83,14847629.10,15.97,24742007.28,10.43,34634963.46,7.58,44528752.24,7.66,54422338.07,9.55,64316642.94,9.94
381148.05,14853883.60,8.14,24750882.35,6.72,34646830.53,6.23,44543772.91,5.40,54440535.41,6.35,64338018.63,6.88,381131.58,14855337.59,16.28,24754580.55,10.46,34652342.75,7.49,44550872.61,7.45,54449190.10,9.09,64348193.22,9.44,381142.79,14847629.13,15.97,24742007.32,10.43,34634963.50,7.58,44528752.28,7.66,54422338.16,9.55,64316643.04,9.94
381206.54,14853883.61,8.14,24750882.37,6.72,34646830.56,6.23,44543772.94,5.40,54440535.46,6.35,64338018.68,6.87,381195.06,14855340.92,16.02,24754581.98,9.94,34652340.37,7.16,44550870.03,7.20,54449181.43,8.67,64348160.39,9.38,381201.24,14847629.16,15.97,24742007.36,10.43,34634963.56,7.58,44528752.37,7.66,54422338.24,9.55,64316643.13,9.94
381285.63,14853883.63,8.14,24750882.38,6.73,34646830.57,6.23,44543772.98,5.40,54440535.51,6.35,64338018.74,6.88,381269.10,14855337.64,16.28,24754580.62,10.46,34652342.83,7.49,44550872.73,7.45,54449190.23,9.10,64348193.37,9.44,381280.34,14847629.19,15.97,24742007.42,10.43,34634963.63,7.58,44528752.47,7.66,54422338.35,9.55,64316643.27,9.94
381353.19,14853883.66,8.14,24750882.40,6.73,34646830.57,6.23,44543773.01,5.40,54440535.54,6.35,64338018.78,6.88,381333.84,14855346.48,15.58,24754584.43,9.09,34652336.47,6.61,44550865.86,6.77,54449167.15,7.95,64348106.50,9.28,381347.89,14847629.22,15.97,24742007.46,10.43,34634963.72,7.58,44528752.57,7.66,54422338.48,9.55,64316643.42,9.94
381429.55,14853883.66,8.14,24750882.40,6.73,34646830.55,6.23,44543773.04,5.40,54440535.56,6.35,64338018.82,6.88,381413.03,14855337.66,16.28,24754580.66,10.46,34652342.90,7.49,44550872.79,7.45,54449190.32,9.09,64348193.48,9.44,381424.25,14847629.23,15.97,24742007.48,10.43,34634963.72,7.58,44528752.56,7.66,54422338.48,9.55,64316643.43,9.94
381493.80,14853883.67,8.14,24750882.41,6.73,34646830.58,6.23,44543773.07,5.40,54440535.60,6.35,64338018.85,6.88,381477.98,14855340.99,16.02,24754582.10,9.94,34652340.52,7.16,44550870.24,7.20,54449181.67,8.66,64348160.88,9.38,381488.51,14847629.25,15.97,24742007.52,10.43,34634963.78,7.58,44528752.64,7.66,54422338.57,9.55,64316643.55,9.94
381575.89,14853883.69,8.14,24750882.43,6.73,34646830.61,6.23,44543773.10,5.40,54440535.64,6.35,64338018.91,6.88,381565.29,14855337.70,16.28,24754580.69,10.46,34652342.94,7.49,44550872.86,7.45,54449190.38,9.09,64348193.30,9.44,381570.60,14847629.27,15.97,24742007.55,10.43,34634963.82,7.58,44528752.70,7.66,54422338.64,9.55,64316643.61,9.94
381640.94,14853883.70,8.14,24750882.44,6.73,34646830.63,6.23,44543773.12,5.40,54440535.65,6.35,64338018.94,6.88,381630.70,14855337.71,16.28,24754580.71,10.46,34652342.97,7.49,44550872.88,7.45,54449190.41,9.10,64348193.36,9.44,381635.64,14847629.29,15.97,24742007.58,10.43,34634963.85,7.58,44528752.74,7.66,54422338.69,9.55,64316643.68,9.94
381709.13,14853883.72,8.14,24750882.44,6.73,34646830.63,6.23,44543773.13,5.40,54440535.67,6.35,64338018.95,6.88,381697.00,14855344.35,15.75,24754583.57,9.43,34652338.19,6.83,44550867.73,6.94,54449173.05,8.24,64348128.30,9.32,381703.84,14847629.31,15.97,24742007.62,10.43,34634963.92,7.58,44528752.83,7.66,54422338.78,9.55,64316643.80,9.94
381784.37,14853883.72,8.14,24750882.44,6.73,34646830.59,6.23,44543773.13,5.40,54440535.67,6.35,64338018.95,6.88,381766.53,14855346.56,15.58,24754584.55,9.09,34652336.61,6.61,44550866.05,6.77,54449167.33,7.95,64348106.79,9.28,381779.07,14847629.32,15.97,24742007.64,10.43,34634963.95,7.58,44528752.87,7.66,54422338.85,9.55,64316643.85,9.94
381860.68,14853883.73,8.14,24750882.45,6.73,34646830.60,6.23,44543773.15,5.40,54440535.70,6.35,64338018.99,6.88,381844.16,14855337.74,16.28,24754580.76,10.46,34652343.04,7.49,44550872.98,7.45,54449190.54,9.09,64348193.76,9.44,381855.38,14847629.34,15.97,24742007.66,10.43,34634963.96,7.58,44528752.87,7.66,54422338.84,9.55,64316643.87,9.94
381919.08,14853883.74,8.14,24750882.45,6.73,34646830.62,6.23,44543773.16,5.40,54440535.71,6.35,64338019.01,6.88,381901.39,14855342.17,15.93,24754582.68,9.77,34652339.86,7.05,44550869.56,7.11,54449179.00,8.52,64348150.32,9.36,381913.78,14847629.35,15.97,24742007.68,10.43,34634963.99,7.58,44528752.92,7.66,54422338.91,9.55,64316643.93,9.94
381990.76,14853883.74,8.14,24750882.46,6.73,34646830.63,6.23,44543773.19,5.40,54440535.74,6.35,64338019.03,6.88,381980.16,14855337.76,16.28,24754580.79,10.46,34652343.07,7.49,44550873.02,7.45,54449190.56,9.10,64348193.52,9.44,381985.47,14847629.36,15.97,24742007.69,10.43,34634964.01,7.58,44528752.95,7.66,54422338.93,9.55,64316643.96,9.94
382056.76,14853883.75,8.14,24750882.47,6.73,34646830.67,6.23,44543773.20,5.40,54440535.75,6.35,64338019.05,6.88,382039.09,14855342.19,15.93,24754582.71,9.77,34652339.90,7.05,44550869.62,7.11,54449179.07,8.52,64348150.41,9.36,382051.46,14847629.37,15.97,24742007.71,10.43,34634964.05,7.58,44528753.01,7.66,54422339.00,9.55,64316644.02,9.94
382129.41,14853883.75,8.14,24750882.47,6.74,34646830.63,6.23,44543773.21,5.40,54440535.76,6.35,64338019.07,6.88,382111.24,14855342.19,15.93,24754582.72,9.77,34652339.92,7.05,44550869.63,7.11,54449179.09,8.52,64348150.39,9.36,382124.12,14847629.38,15.97,24742007.71,10.43,34634964.06,7.58,44528753.01,7.66,54422339.01,9.55,64316644.04,9.94
382204.06,14853883.76,8.14,24750882.46,6.74,34646830.61,6.23,44543773.20,5.40,54440535.75,6.35,64338019.05,6.88,382185.49,14855346.61,15.58,24754584.62,9.09,34652336.71,6.61,44550866.18,6.77,54449167.46,7.95,64348107.11,9.28,382198.76,14847629.39,15.98,24742007.73,10.43,34634964.08,7.58,44528753.05,7.66,54422339.03,9.55,64316644.09,9.94
382275.98,14853883.77,8.14,24750882.45,6.74,34646830.61,6.23,44543773.19,5.40,54440535.73,6.35,64338019.03,6.88,382257.81,14855342.19,15.93,24754582.72,9.77,34652339.91,7.05,44550869.63,7.11,54449179.09,8.52,64348150.38,9.36,382270.68,14847629.39,15.97,24742007.73,10.43,34634964.07,7.58,44528753.02,7.66,54422339.02,9.55,64316644.05,9.94
382348.42,14853883.78,8.14,24750882.48,6.74,34646830.63,6.23,44543773.23,5.40,54440535.78,6.35,64338019.11,6.88,382330.33,14855342.21,15.93,24754582.75,9.77,34652339.95,7.05,44550869.68,7.11,54449179.15,8.52,64348150.48,9.36,382343.17,14847629.40,15.98,24742007.75,10.43,34634964.10,7.58,44528753.07,7.66,54422339.09,9.55,64316644.15,9.94
382426.81,14853883.78,8.14,24750882.48,6.74,34646830.64,6.23,44543773.25,5.40,54440535.80,6.35,64338019.11,6.88,382410.62,14855341.11,16.02,24754582.28,9.95,34652340.76,7.16,44550870.55,7.20,54449182.05,8.66,64348161.30,9.38,382421.52,14847629.41,15.97,24742007.76,10.43,34634964.12,7.58,44528753.09,7.66,54422339.11,9.55,64316644.17,9.94
382508.89,14853883.77,8.14,24750882.48,6.74,34646830.63,6.23,44543773.24,5.40,54440535.79,6.35,64338019.10,6.88,382498.29,14855337.81,16.28,24754580.86,10.46,34652343.16,7.49,44550873.12,7.45,54449190.70,9.09,64348193.68,9.44,382503.59,14847629.41,15.98,24742007.76,10.43,34634964.10,7.58,44528753.07,7.66,54422339.09,9.55,64316644.15,9.94
382575.16,14853883.77,8.14,24750882.47,6.74,34646830.63,6.23,44543773.23,5.40,54440535.77,6.35,64338019.08,6.88,382563.69,14855341.12,16.02,24754582.27,9.95,34652340.75,7.16,44550870.53,7.20,54449182.01,8.67,64348161.08,9.38,382569.87,14847629.40,15.97,24742007.76,10.43,34634964.12,7.58,44528753.08,7.66,54422339.11,9.55,64316644.17,9.94
382654.22,14853883.77,8.14,24750882.47,6.74,34646830.62,6.23,44543773.22,5.40,54440535.77,6.35,64338019.07,6.88,382637.70,14855337.80,16.28,24754580.87,10.46,34652343.16,7.49,44550873.14,7.45,54449190.73,9.09,64348193.95,9.44,382648.92,14847629.40,15.97,24742007.76,10.43,34634964.11,7.58,44528753.06,7.66,54422339.08,9.55,64316644.14,9.94
382721.03,14853883.78,8.14,24750882.47,6.74,34646830.62,6.23,44543773.23,5.40,54440535.78,6.35,64338019.09,6.88,382704.57,14855344.43,15.75,24754583.71,9.43,34652338.36,6.83,44550867.97,6.94,54449173.35,8.24,64348128.82,9.32,382715.75,14847629.41,15.98,24742007.77,10.43,34634964.14,7.58,44528753.12,7.66,54422339.12,9.55,64316644.18,9.94
382804.17,14853883.79,8.14,24750882.47,6.74,34646830.63,6.23,44543773.23,5.40,54440535.78,6.35,64338019.10,6.88,382786.00,14855342.23,15.93,24754582.78,9.77,34652339.99,7.05,44550869.74,7.11,54449179.20,8.52,64348150.51,9.36,382798.88,14847629.42,15.97,24742007.79,10.43,34634964.15,7.58,44528753.12,7.66,54422339.15,9.55,64316644.21,9.94
382882.68,14853883.79,8.14,24750882.49,6.74,34646830.62,6.23,44543773.25,5.40,54440535.80,6.35,64338019.12,6.88,382866.50,14855341.14,16.02,24754582.32,9.95,34652340.81,7.16,44550870.61,7.20,54449182.11,8.66,64348161.36,9.38,382877.40,14847629.43,15.98,24742007.80,10.43,34634964.16,7.58,44528753.14,7.66,54422339.17,9.55,64316644.26,9.94
382971.57,14853883.79,8.14,24750882.49,6.74,34646830.61,6.23,44543773.27,5.40,54440535.82,6.35,64338019.14,6.88,382955.39,14855341.14,16.02,24754582.32,9.95,34652340.82,7.16,44550870.63,7.20,54449182.14,8.66,64348161.40,9.38,382966.28,14847629.43,15.97,24742007.80,10.43,34634964.17,7.58,44528753.17,7.66,54422339.19,9.55,64316644.27,9.94
383053.64,14853883.80,8.14,24750882.48,6.74,34646830.61,6.23,44543773.26,5.40,54440535.80,6.35,64338019.12,6.88,383043.04,14855337.82,16.28,24754580.89,10.46,34652343.20,7.49,44550873.19,7.45,54449190.77,9.09,64348193.76,9.44,383048.34,14847629.43,15.97,24742007.79,10.43,34634964.16,7.58,44528753.13,7.66,54422339.16,9.55,64316644.24,9.94
383128.11,14853883.81,8.14,24750882.48,6.74,34646830.60,6.23,44543773.26,5.40,54440535.80,6.35,64338019.11,6.88,383111.64,14855344.45,15.75,24754583.75,9.43,34652338.42,6.83,44550868.04,6.94,54449173.43,8.24,64348128.93,9.32,383122.82,14847629.43,15.97,24742007.82,10.43,34634964.20,7.58,44528753.19,7.66,54422339.22,9.55,64316644.29,9.94
383217.76,14853883.82,8.14,24750882.48,6.74,34646830.57,6.23,44543773.25,5.40,54440535.81,6.35,64338019.12,6.88,383199.59,14855342.25,15.93,24754582.81,9.78,34652340.04,7.05,44550869.80,7.11,54449179.29,8.52,64348150.63,9.36,383212.47,14847629.44,15.98,24742007.82,10.43,34634964.20,7.58,44528753.20,7.66,54422339.24,9.55,64316644.34,9.94
383288.32,14853883.82,8.14,24750882.49,6.74,34646830.60,6.23,44543773.28,5.40,54440535.83,6.35,64338019.15,6.88,383272.50,14855341.15,16.02,24754582.35,9.95,34652340.86,7.16,44550870.68,7.20,54449182.20,8.66,64348161.50,9.38,383283.03,14847629.45,15.98,24742007.84,10.43,34634964.22,7.58,44528753.22,7.66,54422339.26,9.55,64316644.34,9.94
383371.65,14853883.81,8.14,24750882.49,6.74,34646830.56,6.23,44543773.27,5.40,54440535.81,6.35,64338019.12,6.88,383359.81,14855341.15,16.02,24754582.34,9.95,34652340.84,7.16,44550870.65,7.20,54449182.16,8.67,64348161.22,9.38,383366.35,14847629.44,15.98,24742007.83,10.43,34634964.21,7.58,44528753.22,7.66,54422339.25,9.55,64316644.35,9.94
383453.95,14853883.82,8.14,24750882.48,6.74,34646830.53,6.23,44543773.24,5.40,54440535.79,6.35,64338019.11,6.88,383435.39,14855346.66,15.58,24754584.72,9.09,34652336.84,6.61,44550866.36,6.77,54449167.68,7.95,64348107.38,9.28,383448.65,14847629.45,15.97,24742007.85,10.43,34634964.24,7.58,44528753.26,7.66,54422339.28,9.55,64316644.38,9.94
383519.97,14853883.83,8.14,24750882.47,6.74,34646830.53,6.23,44543773.26,5.40,54440535.81,6.35,64338019.13,6.88,383502.16,14855346.67,15.58,24754584.74,9.09,34652336.87,6.61,44550866.38,6.77,54449167.73,7.95,64348107.27,9.28,383514.71,14847629.46,15.97,24742007.87,10.43,34634964.27,7.58,44528753.29,7.66,54422339.35,9.55,64316644.44,9.94
383596.09,14853883.83,8.14,24750882.48,6.74,34646830.54,6.22,44543773.28,5.40,54440535.83,6.35,64338019.17,6.88,383579.58,14855337.85,16.28,24754580.96,10.46,34652343.29,7.49,44550873.31,7.45,54449190.94,9.09,64348194.20,9.44,383590.79,14847629.47,15.97,24742007.86,10.43,34634964.25,7.58,44528753.26,7.66,54422339.33,9.55,64316644.43,9.94
383654.72,14853883.83,8.14,24750882.49,6.74,34646830.55,6.22,44543773.30,5.40,54440535.84,6.35,64338019.17,6.88,383643.25,14855341.17,16.02,24754582.38,9.95,34652340.89,7.16,44550870.72,7.20,54449182.24,8.67,64348161.34,9.38,383649.42,14847629.48,15.97,24742007.89,10.43,34634964.29,7.58,44528753.30,7.66,54422339.35,9.55,64316644.46,9.94
383733.80,14853883.84,8.14,24750882.49,6.74,34646830.53,6.22,44543773.29,5.40,54440535.83,6.35,64338019.16,6.88,383717.27,14855337.87,16.28,24754580.98,10.46,34652343.32,7.49,44550873.34,7.45,54449190.97,9.09,64348194.25,9.44,383728.50,14847629.49,15.97,24742007.90,10.43,34634964.30,7.58,44528753.31,7.66,54422339.40,9.55,64316644.50,9.94
383800.16,14853883.84,8.14,24750882.49,6.74,34646830.52,6.22,44543773.30,5.40,54440535.85,6.35,64338019.17,6.88,383781.99,14855342.29,15.93,24754582.88,9.78,34652340.13,7.05,44550869.91,7.11,54449179.42,8.52,64348150.79,9.36,383794.87,14847629.49,15.97,24742007.91,10.43,34634964.32,7.58,44528753.35,7.66,54422339.41,9.55,64316644.54,9.94
383863.86,14853883.84,8.14,24750882.49,6.74,34646830.53,6.22,44543773.30,5.40,54440535.84,6.35,64338019.17,6.88,383853.62,14855337.87,16.28,24754580.98,10.46,34652343.32,7.49,44550873.34,7.45,54449190.94,9.10,64348194.01,9.44,383858.56,14847629.49,15.98,24742007.90,10.43,34634964.31,7.58,44528753.33,7.66,54422339.39,9.55,64316644.51,9.94
383939.02,14853883.87,8.14,24750882.50,6.74,34646830.52,6.22,44543773.31,5.40,54440535.85,6.35,64338019.19,6.88,383919.68,14855346.71,15.58,24754584.80,9.09,34652336.97,6.61,44550866.51,6.77,54449167.90,7.95,64348107.42,9.28,383933.72,14847629.52,15.98,24742007.95,10.43,34634964.39,7.58,44528753.44,7.66,54422339.52,9.55,64316644.64,9.94
384017.02,14853883.87,8.14,24750882.51,6.74,34646830.54,6.22,44543773.34,5.40,54440535.89,6.35,64338019.23,6.88,383998.85,14855342.31,15.93,24754582.93,9.78,34652340.20,7.05,44550869.99,7.11,54449179.50,8.52,64348150.89,9.36,384011.73,14847629.53,15.98,24742007.97,10.43,34634964.41,7.58,44528753.46,7.66,54422339.55,9.55,64316644.68,9.94
384088.03,14853883.88,8.14,24750882.52,6.75,34646830.55,6.22,44543773.35,5.40,54440535.91,6.35,64338019.26,6.88,384071.51,14855337.90,16.28,24754581.05,10.46,34652343.41,7.49,44550873.46,7.45,54449191.12,9.09,64348194.42,9.44,384082.74,14847629.54,15.98,24742007.98,10.43,34634964.42,7.58,44528753.46,7.66,54422339.57,9.55,64316644.72,9.94
384146.65,14853883.87,8.14,24750882.52,6.75,34646830.58,6.22,44543773.37,5.40,54440535.92,6.35,64338019.27,6.88,384135.18,14855341.23,16.02,24754582.47,9.95,34652341.01,7.16,44550870.87,7.20,54449182.41,8.67,64348161.55,9.38,384141.36,14847629.55,15.98,24742007.99,10.43,34634964.44,7.58,44528753.50,7.66,54422339.62,9.55,64316644.75,9.94
384225.70,14853883.88,8.14,24750882.51,6.75,34646830.55,6.22,44543773.36,5.40,54440535.92,6.35,64338019.26,6.88,384209.18,14855337.91,16.28,24754581.06,10.46,34652343.42,7.49,44550873.49,7.45,54449191.14,9.09,64348194.47,9.44,384220.40,14847629.56,15.98,24742008.01,10.43,34634964.45,7.58,44528753.52,7.66,54422339.63,9.55,64316644.78,9.94
384289.85,14853883.90,8.14,24750882.52,6.75,34646830.58,6.22,44543773.38,5.40,54440535.93,6.35,64338019.29,6.88,384274.03,14855341.24,16.02,24754582.49,9.95,34652341.04,7.16,44550870.93,7.20,54449182.49,8.66,64348161.85,9.38,384284.56,14847629.57,15.98,24742008.04,10.43,34634964.49,7.58,44528753.57,7.66,54422339.70,9.55,64316644.85,9.94
384374.85,14853883.90,8.14,24750882.53,6.75,34646830.56,6.22,44543773.39,5.40,54440535.95,6.35,64338019.29,6.88,384362.49,14855344.55,15.76,24754583.92,9.43,34652338.65,6.83,44550868.35,6.94,54449173.79,8.24,64348129.10,9.32,384369.55,14847629.59,15.98,24742008.06,10.43,34634964.53,7.58,44528753.62,7.66,54422339.75,9.55,64316644.91,9.94
384461.98,14853883.89,8.14,24750882.51,6.75,34646830.54,6.22,44543773.36,5.40,54440535.91,6.35,64338019.26,6.88,384438.83,14855342.34,15.93,24754582.99,9.78,34652340.27,7.05,44550870.12,7.11,54449179.67,8.52,64348151.40,9.36,384456.76,14847629.58,15.98,24742008.04,10.43,34634964.51,7.58,44528753.60,7.66,54422339.74,9.55,64316644.89,9.94
384541.30,14853883.91,8.14,24750882.52,6.75,34646830.55,6.22,44543773.38,5.40,54440535.94,6.35,64338019.29,6.88,384521.98,14855346.77,15.58,24754584.89,9.09,34652337.07,6.61,44550866.65,6.77,54449168.07,7.95,64348107.63,9.28,384536.02,14847629.59,15.98,24742008.07,10.43,34634964.56,7.58,44528753.65,7.66,54422339.80,9.55,64316644.94,9.94
384607.99,14853883.90,8.14,24750882.52,6.75,34646830.54,6.22,44543773.38,5.40,54440535.95,6.35,64338019.30,6.88,384590.90,14855346.77,15.58,24754584.90,9.09,34652337.08,6.61,44550866.67,6.77,54449168.04,7.95,64348107.85,9.28,384602.69,14847629.60,15.98,24742008.08,10.43,34634964.57,7.58,44528753.68,7.66,54422339.82,9.55,64316644.97,9.94
384678.08,14853883.89,8.14,24750882.52,6.75,34646830.52,6.22,44543773.39,5.40,54440535.94,6.35,64338019.29,6.88,384667.48,14855337.94,16.29,24754581.09,10.46,34652343.46,7.49,44550873.54,7.45,54449191.20,9.09,64348194.27,9.44,384672.79,14847629.59,15.98,24742008.05,10.43,34634964.51,7.58,44528753.60,7.66,54422339.73,9.55,64316644.89,9.94
384742.84,14853883.88,8.14,24750882.51,6.75,34646830.54,6.22,44543773.38,5.40,54440535.93,6.35,64338019.27,6.88,384732.63,14855337.93,16.29,24754581.08,10.46,34652343.45,7.49,44550873.52,7.45,54449191.17,9.10,64348194.28,9.44,384737.56,14847629.58,15.98,24742008.05,10.43,34634964.51,7.58,44528753.60,7.66,54422339.73,9.55,64316644.88,9.94
384808.89,14853883.88,8.14,24750882.51,6.75,34646830.52,6.22,44543773.38,5.40,54440535.93,6.35,64338019.27,6.88,384797.42,14855341.25,16.02,24754582.52,9.95,34652341.07,7.16,44550870.97,7.20,54449182.51,8.67,64348161.71,9.38,384803.60,14847629.59,15.98,24742008.07,10.43,34634964.53,7.58,44528753.61,7.66,54422339.76,9.55,64316644.91,9.94
384878.33,14853883.90,8.14,24750882.51,6.75,34646830.47,6.22,44543773.37,5.40,54440535.91,6.35,64338019.26,6.88,384861.25,14855346.77,15.58,24754584.91,9.09,34652337.09,6.61,44550866.67,6.77,54449168.04,7.95,64348107.84,9.28,384873.03,14847629.60,15.98,24742008.09,10.43,34634964.57,7.58,44528753.67,7.66,54422339.82,9.55,64316644.97,9.94
384953.65,14853883.89,8.14,24750882.51,6.75,34646830.50,6.22,44543773.38,5.40,54440535.93,6.35,64338019.27,6.88,384941.02,14855347.88,15.49,24754585.37,8.92,34652336.28,6.50,44550865.80,6.68,54449165.14,7.81,64348096.63,9.26,384948.35,14847629.60,15.98,24742008.09,10.43,34634964.58,7.58,44528753.69,7.66,54422339.84,9.55,64316644.99,9.94
385040.03,14853883.89,8.14,24750882.51,6.75,34646830.50,6.22,44543773.37,5.40,54440535.92,6.35,64338019.28,6.88,385016.56,14855342.35,15.93,24754583.02,9.78,34652340.31,7.05,44550870.15,7.11,54449179.71,8.52,64348151.43,9.36,385034.74,14847629.58,15.98,24742008.06,10.43,34634964.52,7.58,44528753.61,7.66,54422339.74,9.55,64316644.89,9.94
385112.59,14853883.89,8.15,24750882.50,6.75,34646830.45,6.22,44543773.34,5.40,54440535.89,6.35,64338019.23,6.88,385094.42,14855342.34,15.93,24754582.99,9.78,34652340.28,7.05,44550870.12,7.11,54449179.67,8.52,64348151.09,9.36,385107.29,14847629.58,15.98,24742008.05,10.43,34634964.51,7.58,44528753.58,7.66,54422339.72,9.55,64316644.84,9.94
385193.30,14853883.88,8.15,24750882.49,6.75,34646830.44,6.22,44543773.34,5.40,54440535.88,6.35,64338019.23,6.88,385176.59,14855344.55,15.76,24754583.95,9.43,34652338.68,6.83,44550868.38,6.94,54449173.84,8.23,64348129.36,9.32,385188.00,14847629.57,15.98,24742008.05,10.43,34634964.50,7.58,44528753.58,7.66,54422339.71,9.55,64316644.85,9.94
385278.07,14853883.90,8.15,24750882.49,6.75,34646830.43,6.22,44543773.33,5.40,54440535.88,6.35,64338019.20,6.88,385259.51,14855346.76,15.58,24754584.90,9.09,34652337.08,6.61,44550866.67,6.77,54449168.06,7.95,64348107.81,9.28,385272.77,14847629.58,15.98,24742008.05,10.43,34634964.52,7.58,44528753.61,7.66,54422339.74,9.55,64316644.88,9.94
385349.81,14853883.90,8.15,24750882.50,6.75,34646830.46,6.22,44543773.36,5.40,54440535.90,6.35,64338019.25,6.88,385331.69,14855342.35,15.93,24754583.02,9.78,34652340.31,7.05,44550870.16,7.11,54449179.70,8.52,64348151.12,9.36,385344.54,14847629.58,15.98,24742008.05,10.43,34634964.52,7.58,44528753.61,7.66,54422339.74,9.55,64316644.88,9.94
385421.07,14853883.89,8.15,24750882.50,6.75,34646830.45,6.22,44543773.37,5.40,54440535.91,6.35,64338019.25,6.88,385410.51,14855337.93,16.29,24754581.11,10.46,34652343.49,7.49,44550873.57,7.45,54449191.23,9.09,64348194.31,9.44,385415.81,14847629.58,15.98,24742008.03,10.43,34634964.49,7.58,44528753.56,7.66,54422339.70,9.55,64316644.86,9.94
385494.95,14853883.89,8.15,24750882.50,6.75,34646830.46,6.22,44543773.35,5.40,54440535.90,6.35,64338019.24,6.88,385476.77,14855342.35,15.93,24754583.02,9.78,34652340.32,7.05,44550870.16,7.11,54449179.71,8.52,64348151.13,9.36,385489.65,14847629.58,15.98,24742008.05,10.43,34634964.52,7.58,44528753.58,7.66,54422339.74,9.55,64316644.87,9.94
385568.70,14853883.90,8.15,24750882.49,6.75,34646830.45,6.22,44543773.34,5.40,54440535.88,6.35,64338019.23,6.88,385549.37,14855346.76,15.58,24754584.92,9.09,34652337.11,6.61,44550866.70,6.77,54449168.14,7.95,64348107.68,9.28,385563.40,14847629.58,15.98,24742008.06,10.43,34634964.53,7.58,44528753.62,7.66,54422339.77,9.55,64316644.90,9.94
385642.47,14853883.90,8.15,24750882.49,6.75,34646830.46,6.22,44543773.34,5.40,54440535.89,6.35,64338019.22,6.88,385623.91,14855346.76,15.58,24754584.92,9.09,34652337.11,6.61,44550866.70,6.77,54449168.10,7.95,64348107.86,9.28,385637.18,14847629.59,15.98,24742008.07,10.43,34634964.55,7.58,44528753.65,7.66,54422339.78,9.55,64316644.92,9.94
385721.72,14853883.90,8.15,24750882.48,6.75,34646830.45,6.22,44543773.33,5.40,54440535.87,6.35,64338019.21,6.88,385703.23,14855346.76,15.58,24754584.93,9.09,34652337.11,6.61,44550866.71,6.77,54449168.11,7.95,64348107.86,9.28,385716.43,14847629.59,15.98,24742008.07,10.43,34634964.55,7.58,44528753.63,7.66,54422339.78,9.55,64316644.93,9.94
