Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
1594.08,14853917.35,8.21,24750937.16,6.80,34646910.95,6.26,44543885.96,5.51,54440673.36,6.33,64338182.08,6.87,1575.86,14855373.86,15.81,24754631.10,9.24,34652403.49,6.71,44550952.11,6.86,54449273.05,8.00,64348233.69,9.35,1588.80,14847649.32,16.11,24742044.87,10.45,34635017.78,7.59,44528822.74,7.68,54422425.64,9.55,64316747.17,9.95
1663.35,14853917.17,8.21,24750936.72,6.80,34646910.32,6.25,44543885.16,5.51,54440672.38,6.33,64338180.89,6.87,1647.41,14855364.93,16.52,24754627.17,10.61,34652409.67,7.59,44550958.74,7.54,54449295.92,9.12,64348319.74,9.47,1658.06,14847649.28,16.11,24742044.77,10.45,34635017.64,7.59,44528822.55,7.68,54422425.39,9.55,64316746.91,9.95
1729.32,14853917.00,8.21,24750936.33,6.80,34646909.73,6.25,44543884.45,5.51,54440671.51,6.33,64338179.85,6.87,1710.65,14855373.62,15.81,24754630.66,9.24,34652402.87,6.71,44550951.34,6.85,54449272.07,8.00,64348232.55,9.35,1724.05,14847649.23,16.11,24742044.71,10.45,34635017.55,7.59,44528822.44,7.68,54422425.24,9.55,64316746.73,9.95
1804.87,14853916.79,8.21,24750935.85,6.81,34646909.05,6.24,44543883.61,5.51,54440670.49,6.33,64338178.63,6.87,1787.31,14855369.08,16.17,24754628.56,9.92,34652405.76,7.15,44550954.39,7.19,54449283.19,8.56,64348275.18,9.41,1799.58,14847649.17,16.10,24742044.60,10.45,34635017.39,7.59,44528822.22,7.68,54422424.99,9.55,64316746.42,9.95
1877.41,14853916.60,8.21,24750935.41,6.81,34646908.40,6.24,44543882.82,5.51,54440669.54,6.33,64338177.49,6.87,1859.17,14855373.35,15.81,24754630.18,9.23,34652402.16,6.71,44550950.41,6.85,54449270.93,8.00,64348231.17,9.35,1872.11,14847649.10,16.10,24742044.50,10.45,34635017.24,7.59,44528822.02,7.68,54422424.74,9.55,64316746.12,9.95
1948.34,14853916.40,8.21,24750934.97,6.81,34646907.79,6.24,44543882.03,5.51,54440668.56,6.33,64338176.34,6.87,1930.78,14855368.80,16.16,24754628.08,9.92,34652405.07,7.15,44550953.50,7.19,54449282.10,8.56,64348273.85,9.41,1943.05,14847649.03,16.10,24742044.37,10.45,34635017.05,7.59,44528821.78,7.68,54422424.43,9.55,64316745.77,9.95
2016.82,14853916.21,8.21,24750934.56,6.81,34646907.21,6.24,44543881.28,5.51,54440667.63,6.33,64338175.25,6.87,2001.53,14855374.17,15.72,24754630.17,9.06,34652400.67,6.60,44550948.63,6.77,54449266.89,7.86,64348219.05,9.33,2011.53,14847648.94,16.09,24742044.26,10.45,34635016.91,7.59,44528821.60,7.68,54422424.21,9.55,64316745.48,9.95
2098.27,14853915.99,8.21,24750934.10,6.81,34646906.53,6.23,44543880.44,5.51,54440666.60,6.33,64338174.02,6.87,2080.03,14855372.91,15.81,24754629.44,9.23,34652401.11,6.71,44550949.06,6.85,54449269.28,8.00,64348229.20,9.35,2092.98,14847648.87,16.09,24742044.13,10.45,34635016.71,7.59,44528821.33,7.68,54422423.87,9.55,64316745.09,9.95
2171.34,14853915.79,8.21,24750933.66,6.81,34646905.91,6.23,44543879.65,5.51,54440665.63,6.33,64338172.86,6.87,2158.75,14855370.57,15.98,24754628.27,9.58,34652402.38,6.93,44550950.37,7.02,54449274.58,8.28,64348249.93,9.37,2166.05,14847648.78,16.09,24742044.00,10.45,34635016.53,7.59,44528821.09,7.68,54422423.58,9.55,64316744.76,9.95
2245.74,14853915.60,8.21,24750933.27,6.81,34646905.35,6.23,44543878.94,5.50,54440664.76,6.33,64338171.86,6.87,2228.48,14855372.64,15.80,24754628.98,9.23,34652400.46,6.71,44550948.24,6.85,54449268.23,8.00,64348228.06,9.34,2240.46,14847648.70,16.08,24742043.89,10.45,34635016.37,7.59,44528820.88,7.68,54422423.34,9.55,64316744.45,9.95
2318.46,14853915.43,8.21,24750932.86,6.81,34646904.79,6.23,44543878.24,5.50,54440663.90,6.33,64338170.83,6.87,2300.24,14855372.51,15.80,24754628.75,9.23,34652400.14,6.71,44550947.81,6.85,54449267.74,8.00,64348227.36,9.34,2313.17,14847648.62,16.08,24742043.77,10.45,34635016.18,7.59,44528820.64,7.68,54422423.03,9.55,64316744.10,9.95
